form_a_class,B_C1,B_C2,B_C3
A_C1,0.6808433749626699,0.346999530482445,0.0378974710714959
A_C2,0.3927432597956979,0.05646953271946919,0.2571880481097574
A_C3,0.018957642541709434,0.3493475926003268,0.6553829529396621
