"model","logLik","df","AIC","BIC","N","LRT_chi2","LRT_df","LRT_p"
"Base",-6379.1383578639,30,12818.2767157278,13014.5192872039,5368,NA,NA,NA
"SES",-6313.79184386936,42,12711.5836877387,12986.3232878053,5368,130.693027989077,12,4.48017573933765e-22
"Awareness",-4767.94141567916,33,9601.88283135831,9817.74965998206,5368,3222.39388436948,3,0
"Full",-4746.78063492755,45,9583.56126985509,9877.9251270693,5368,3264.7154458727,15,0
