"term","group","estimate","std.error","statistic","p.value","conf.low","conf.high"
"age_1829","4",0.0487119819096384,0.0199256006460133,2.44469327550157,0.0144975378558469,0.00965852227312435,0.0877654415461525
"age_1829","1",-0.0397983124742377,0.00890907982727424,-4.46716307922163,7.92637064487597e-06,-0.0572597880710876,-0.0223368368773879
"age_1829","2",-0.0175269359732271,0.0168676290589507,-1.03908711247871,0.298764224071857,-0.0505868814333517,0.0155330094868975
"age_1829","3",0.00861326653782645,0.0119750117523631,0.719269986196608,0.471974585001634,-0.0148573252112492,0.0320838582869021
"age_5064","4",-0.0193616684834514,0.0173857474336736,-1.11365177466864,0.265428605641847,-0.0534371072977613,0.0147137703308586
"age_5064","1",-0.0094533494730923,0.00930298208392511,-1.0161633536226,0.309551604165623,-0.0276868593064069,0.00878016036022228
"age_5064","2",0.0363490299684272,0.0147055266177505,2.47179383052842,0.0134437022304683,0.00752672742394108,0.0651713325129134
"age_5064","3",-0.00753401201188359,0.0115076570820339,-0.654695561240345,0.5126637836824,-0.0300886054391072,0.0150205814153401
"age_65plus","4",-0.0740364826845965,0.0181576280934388,-4.07743138606023,4.55359613366237e-05,-0.109624779792409,-0.0384481855767837
"age_65plus","1",-0.0482126530288949,0.00907108048890109,-5.31498459173474,1.06666352377028e-07,-0.065991644088005,-0.0304336619697848
"age_65plus","2",0.097864886624066,0.0151572985817274,6.45661798481988,1.0706871467329e-10,0.0681571273009603,0.127572645947172
"age_65plus","3",0.0243842490894254,0.0127926726520895,1.9061106113305,0.0566358562594171,-0.000688928574680604,0.0494574267535314
"awareness_num","4",-0.969716359930273,0.0200765530383996,-48.3009388153203,0,-1.00906568081924,-0.930367039041301
"awareness_num","1",-0.197709494872123,0.0138853526099235,-14.2387089781807,5.26914962603931e-46,-0.224924285900212,-0.170494703844033
"awareness_num","2",-0.501696399541101,0.0080571144424525,-62.2675032264269,0,-0.517488053667626,-0.485904745414577
"awareness_num","3",1.66912225434342,0.0173632250762971,96.1297366709812,0,1.63509095853841,1.70315355014842
"edu_hs_or_less","4",-0.0373453477295984,0.0178349335424008,-2.09394375598953,0.0362649908171866,-0.0723011751393693,-0.00238952031982744
"edu_hs_or_less","1",0.0456304700253313,0.0130501234496117,3.49655466490542,0.000471307917495987,0.0200526980702908,0.0712082419803718
"edu_hs_or_less","2",-0.0105052019210508,0.0148394469381206,-0.707924086716759,0.478992400935303,-0.0395899834702604,0.0185795796281587
"edu_hs_or_less","3",0.00222007962531796,0.0124788345600255,0.177907609451745,0.858795534705876,-0.0222379866813658,0.0266781459320017
"edu_some_college","4",-0.0157984695306438,0.0167796137416201,-0.941527604503631,0.346434549889084,-0.0486859081387125,0.017088969077425
"edu_some_college","1",0.0223376242246499,0.0110194526783162,2.02710832168691,0.0426513360202538,0.000739893845806694,0.0439353546034931
"edu_some_college","2",-0.0106080430906911,0.0142637550515372,-0.74370620165325,0.457054236747245,-0.0385644892760052,0.0173484030946231
"edu_some_college","3",0.00406888839668494,0.0108468591668212,0.37512134472355,0.707570223400883,-0.0171905649156628,0.0253283417090326
"gender_female","4",0.023767010080011,0.0137696808550343,1.72603928371524,0.0843403456641265,-0.00322106847446704,0.050755088634489
"gender_female","1",0.0208919673500459,0.00807109651764738,2.58849182442135,0.00963972352658704,0.00507290885971037,0.0367110258403814
"gender_female","2",-0.00773780594247773,0.0113927421556056,-0.679187313887418,0.497019184381198,-0.0300671702526159,0.0145915583676605
"gender_female","3",-0.0369211714875791,0.00912621105227658,-4.04561885278436,5.21850808204931e-05,-0.0548082164653526,-0.0190341265098056
"income_lower","4",-0.0208670097140612,0.0167494695186302,-1.24583108085011,0.212826416371919,-0.0536953667307279,0.0119613473026055
"income_lower","1",0.0148115954766598,0.0102392472224358,1.44655121171459,0.148022659017247,-0.00525696030811619,0.0348801512614358
"income_lower","2",1.5501861526529e-05,0.0138640951617618,0.00111813005794163,0.999107861475693,-0.0271576253337626,0.0271886290568157
"income_lower","3",0.00603991237587484,0.0115055279477277,0.524957429447442,0.599612784891329,-0.0165105080247905,0.0285903327765402
"income_upper","4",-0.045235057325623,0.0178884448855617,-2.52873056406002,0.0114475869625986,-0.0802957650407537,-0.0101743496104924
"income_upper","1",-0.0151780486601403,0.0107814581194025,-1.40779183038569,0.159192720188137,-0.0363093182749961,0.0059532209547155
"income_upper","2",0.0270038965637648,0.01561362557551,1.72950839849269,0.0837181446882698,-0.00359824723232834,0.0576060403598579
"income_upper","3",0.0334092094219985,0.0111499775580658,2.99634768303463,0.00273234702536512,0.0115556549797597,0.0552627638642373
"party_rep","4",0.0118926252933261,0.0143038864273803,0.831426154961732,0.405732928695744,-0.0161424769432906,0.0399277275299427
"party_rep","1",0.0621801434996156,0.00873535949770784,7.11821230894179,1.09335865784776e-12,0.0450591534920983,0.0793011335071328
"party_rep","2",-0.0546434383031054,0.0118759010231744,-4.60120357996207,4.20056620804733e-06,-0.0779197765924896,-0.0313671000137211
"party_rep","3",-0.0194293304898363,0.00934847832480655,-2.07834150273203,0.0376779164251824,-0.0377520113167105,-0.00110664966296213
"race_asian","4",-0.0765253642373216,0.0281873132296314,-2.71488678661561,0.00662984306428028,-0.131771482988348,-0.0212792454862946
"race_asian","1",-0.0320159048571226,0.0163290454873156,-1.96067215820989,0.0499172789092868,-0.0640202459141775,-1.15638000677473e-05
"race_asian","2",0.0460256783168641,0.0267077460874157,1.72330821800611,0.0848328024287464,-0.00632054212271121,0.0983718987564394
